ticketid,use_date,start_time,end_time,assignment,comments,repname,repsign,vendorsign,sign_date,equipmentid_id,incidentid_id,vendorid_id
51,2018-12-26 02:55:24,2018-08-13 22:43:59,2019-02-06 22:58:54,monitor crews,unacceptable,Charlotta Simmon,Angie Hardisty,Ruthe Shippam,2018-09-20 02:24:52,47,58,38
24,2018-05-01 16:31:45,2018-08-15 20:52:36,2018-07-06 02:42:26,monitor crews,great,Jorey Murrill,Jeanne Tupp,Wynn Nisco,2018-06-30 07:41:55,5,92,36
83,2018-12-24 06:33:29,2018-10-24 14:18:17,2018-08-10 18:17:03,cut brush,poor,Wynn Woodford,Tine Holley,Garnette Winterborne,2019-03-13 08:20:21,1,82,14
10,2018-08-28 17:27:19,2018-12-18 02:58:38,2018-09-02 07:11:11,water,unacceptable,Chelsey Wasson,Yard McGrady,Andy Brearty,2019-02-27 18:11:45,65,83,17
19,2019-02-25 09:37:56,2018-04-19 20:27:12,2018-08-17 11:35:55,water,great,Korrie Phippen,Marleen Wellbeloved,Hector Reily,2018-05-27 22:05:31,40,80,66
7,2018-08-31 10:27:26,2019-04-01 01:10:20,2018-07-17 11:57:06,monitor crews,great,Ian Goskar,Betsey Buddell,Ebba Jirzik,2018-05-14 11:27:54,85,26,56
67,2019-01-25 23:50:15,2018-12-16 00:27:32,2019-02-12 21:33:41,monitor crews,poor,Vivyan Craven,Addia Peachman,Kareem Skirvane,2019-02-10 22:38:37,82,14,52
5,2018-09-23 20:13:50,2018-08-16 06:17:50,2019-01-08 21:38:17,cut brush,great,Zabrina Damper,Roger Myton,Jacky Crigin,2019-01-07 15:50:07,40,46,51
16,2018-10-11 20:33:28,2018-05-28 09:52:00,2018-11-04 14:30:38,monitor crews,great,Fanni Kenyam,Boothe Madsen,Lilli Hastwall,2018-05-15 22:53:20,63,98,47
100,2018-05-07 03:48:51,2018-12-13 20:17:52,2018-11-06 06:24:58,monitor crews,poor,Gilligan Beeble,Vi Reedman,Hervey Offill,2018-06-02 18:49:00,32,95,86
70,2018-12-17 01:54:27,2018-04-11 10:31:10,2018-07-21 03:05:42,water,unacceptable,Lindi Dumbrell,Camille Chilcotte,Chaim Mc Giffin,2018-11-25 03:43:52,89,3,55
15,2018-05-23 00:16:23,2018-07-28 17:44:52,2019-04-09 09:29:00,water,great,Uri Beaven,Robinette Slot,Sonnie Ferretti,2019-03-26 09:30:29,78,27,65
87,2018-10-31 08:18:32,2018-06-01 10:45:52,2018-11-03 10:11:38,monitor crews,exceptional,Jephthah Iredale,Amanda Schroeder,Abigale Rahill,2019-01-19 19:41:55,72,36,51
39,2019-03-05 02:07:48,2018-08-23 02:06:21,2018-11-13 07:08:19,cut brush,exceptional,Lauraine Bruin,Laurence Foxley,Bridie Gomar,2019-01-13 23:36:57,3,77,59
74,2019-01-31 20:07:35,2018-10-31 17:00:49,2018-04-18 22:07:27,monitor crews,unacceptable,Husain Benedito,Derek Bolsteridge,Jodie Curuclis,2019-02-14 19:04:19,78,23,17
23,2019-03-17 07:16:47,2018-10-21 18:46:15,2018-06-18 08:06:47,monitor crews,great,Brinna Christol,Osborne Elletson,Dyan Moss,2018-06-01 09:43:43,42,24,51
60,2018-04-30 05:12:54,2018-11-26 21:09:02,2019-03-05 17:20:49,cut brush,unacceptable,Celinka Chalcraft,Freida Didsbury,Ernaline Woolager,2019-01-05 05:49:53,7,13,69
100,2018-09-13 04:08:45,2019-03-31 13:09:15,2018-06-10 09:34:31,monitor crews,poor,Cathyleen Piscopello,Marjory Springthorp,Val Titchener,2018-09-29 05:59:04,72,9,57
85,2018-11-02 00:00:52,2019-03-30 19:23:05,2018-07-29 04:42:11,water,poor,Emmalee Filinkov,Jamison Gayther,Gaston Kedge,2018-10-15 10:51:04,84,63,12
67,2018-12-12 10:58:44,2019-03-18 01:44:42,2018-04-16 01:17:44,water,great,Robers Tuley,Hetty Mahomet,Don Cowpland,2018-07-11 20:21:08,63,35,79
82,2018-05-29 09:11:42,2019-02-03 19:57:30,2018-09-03 14:27:59,monitor crews,poor,Reinwald McCreery,Ashlan Sollis,Melanie Lidgate,2018-11-10 15:44:46,50,78,20
28,2018-11-20 23:12:58,2018-10-25 12:50:06,2018-12-23 02:26:12,water,exceptional,Eben Bukowski,Elsbeth Varsey,Erroll Markussen,2018-05-04 00:40:41,86,63,83
54,2018-08-29 13:56:20,2018-06-06 12:29:20,2018-09-27 06:48:59,monitor crews,unacceptable,Bambie Gye,Antoni Vannar,Read Snowdon,2019-03-22 07:07:32,91,83,31
21,2019-02-10 22:07:40,2019-03-31 16:34:58,2018-09-12 00:26:05,water,great,Kory Conford,Davida Foskew,Nikolos Linnemann,2019-02-23 07:03:18,59,89,14
9,2018-07-21 19:30:02,2018-10-20 07:24:45,2019-04-09 09:02:24,water,exceptional,Janot Timperley,Claudine Tooting,Cherry Korbmaker,2018-09-16 06:10:38,100,96,10
55,2018-05-05 20:59:41,2018-12-05 08:40:29,2018-07-29 23:45:41,water,great,Leia Tasker,Gregoire Alty,Roddie Reed,2018-07-03 23:06:51,20,44,97
13,2018-09-16 12:21:13,2018-04-18 06:37:50,2018-05-01 11:34:41,monitor crews,poor,Esra Eckh,Ashlee Luigi,Morgana Scirman,2018-09-23 02:35:25,33,60,45
23,2018-10-26 09:39:01,2018-07-18 01:37:38,2018-09-04 15:42:21,monitor crews,poor,Kurt Antosik,Agathe Sitch,Florencia Bolus,2018-07-21 11:22:57,8,6,100
49,2018-04-18 08:50:07,2018-04-18 21:14:13,2018-10-03 17:17:35,water,poor,Torrey Mander,Erroll Gooderham,Marielle Awcock,2018-10-07 11:09:39,71,98,98
13,2018-12-31 00:24:12,2018-04-28 11:30:24,2018-10-08 15:59:34,water,exceptional,Max Wellington,Ashlin Toffts,Giraud Durrett,2018-05-23 14:09:31,14,88,2
93,2018-07-16 09:35:13,2019-01-19 03:27:46,2018-10-14 12:10:55,monitor crews,unacceptable,Audra Robertucci,Delbert Townsley,Westley Jupe,2018-07-06 16:50:13,14,62,56
79,2018-08-24 12:10:41,2019-03-21 00:13:23,2018-04-12 07:14:02,monitor crews,poor,Zarah Ruller,Drucill Rummin,Cyndi Spohrmann,2019-01-03 17:38:53,95,71,21
95,2018-05-16 11:38:50,2018-07-22 18:25:29,2018-05-02 16:24:25,monitor crews,exceptional,Kay Ashington,Stevana Mowle,Glyn Tidman,2018-04-30 02:36:50,24,28,95
92,2018-05-31 08:53:06,2018-06-05 08:28:06,2018-08-18 23:01:44,water,poor,Sacha Bearcroft,Graham Colgan,Chrissy Troppmann,2018-09-25 05:45:10,94,70,16
20,2018-10-28 16:08:05,2018-08-03 21:25:05,2019-01-09 21:01:19,water,poor,Nerty Battison,Cybill Morville,Osborn Ayscough,2018-10-19 19:41:08,64,44,40
3,2018-12-22 14:40:27,2018-09-14 05:32:54,2018-10-25 13:02:21,water,unacceptable,Dewitt Crowther,Beilul Brouard,Lanette Budgey,2019-01-17 18:10:39,26,92,63
64,2019-01-31 01:06:40,2018-08-18 04:03:16,2019-01-11 04:17:06,monitor crews,poor,Fallon Gridon,Asia Deakes,Lanie Curcher,2018-07-05 15:52:32,25,38,22
65,2019-02-26 01:14:18,2018-11-17 13:33:54,2018-09-04 05:13:40,cut brush,great,Tandi Chapling,Esther Hawford,Fanni Ciccone,2018-12-25 13:49:20,51,83,26
36,2018-11-23 06:56:41,2019-01-22 22:24:08,2019-01-06 13:13:33,monitor crews,great,Veronica Doohey,Goldie Eagle,Marv Sibbs,2018-08-29 05:30:53,43,42,90
42,2018-09-14 23:11:36,2019-03-28 08:52:26,2019-04-02 01:07:32,cut brush,great,Lana Dienes,Dorotea Fosten,Sibilla Brunet,2018-08-04 10:11:38,46,35,78
35,2019-01-12 02:03:02,2018-06-05 19:20:22,2018-06-23 03:17:22,cut brush,exceptional,Ryun Dunford,Janey O'Riordan,Lenka Chitter,2018-10-27 10:27:28,19,34,14
12,2018-11-03 10:32:07,2018-11-21 01:59:21,2019-03-31 11:49:37,monitor crews,poor,Orbadiah Cartmell,Jackie Blacksland,Ciel Ruston,2018-12-27 19:40:08,66,72,60
65,2018-06-19 18:40:39,2019-03-25 12:16:05,2018-05-09 06:39:53,water,unacceptable,Thia Smithyman,Rosabelle Dowding,Ferd Fear,2019-02-06 15:59:57,87,6,60
71,2018-04-29 20:38:21,2018-07-22 23:20:45,2019-02-04 20:47:35,monitor crews,poor,Mal Groven,Gallagher Giacopetti,Darcey Birkby,2019-01-10 02:55:48,95,14,9
50,2018-04-18 04:50:56,2018-05-17 14:03:27,2018-07-25 12:41:23,cut brush,great,Ainslee Dryden,Jeniece Abraham,Renae Kemer,2019-01-03 16:33:18,3,68,68
73,2018-12-20 19:38:21,2018-10-29 11:40:11,2018-08-13 23:34:05,water,great,Jarret Leband,Mallory Conibeer,Barr Tupman,2018-12-26 22:53:08,72,39,80
72,2018-10-13 20:34:42,2019-03-09 00:54:21,2018-05-21 23:21:11,water,poor,Mordy Grimstead,Honoria Cuddy,Ofilia Bastable,2018-08-20 16:07:45,25,56,44
28,2018-07-31 00:32:04,2018-08-28 20:34:39,2019-01-08 10:55:31,cut brush,poor,Ronalda Jasper,Leland Hubbert,Charla Partridge,2019-03-01 04:38:52,65,46,62
62,2018-07-06 09:48:44,2018-05-12 09:55:22,2018-11-27 16:22:27,water,great,Damien Bourner,Enrica Fullstone,Bentley Chiverton,2018-06-29 01:44:53,42,98,16
79,2018-08-22 19:19:35,2018-11-25 23:52:18,2018-08-02 12:06:15,monitor crews,poor,Marline Gossan,Warner Retter,Lyndsie Nanson,2019-03-09 01:38:31,32,55,93
49,2018-07-31 18:57:12,2018-08-29 04:45:52,2018-05-23 15:58:24,monitor crews,great,Godwin Paeckmeyer,Ailey Giovannardi,Eydie Fellos,2019-01-05 06:47:17,31,34,6
14,2018-05-02 03:42:05,2018-04-26 00:01:48,2018-10-17 20:16:14,water,great,Ilaire Murgatroyd,Randa Burnapp,Skipp Coatts,2018-12-27 10:48:50,88,81,90
73,2019-03-20 07:07:06,2018-12-24 03:47:45,2018-11-29 07:46:18,water,unacceptable,Nataniel Lattos,Brant Gerbl,Kathy Gyves,2018-09-14 09:01:21,46,98,70
84,2018-09-22 22:45:05,2019-04-02 05:38:09,2018-08-06 11:06:18,cut brush,great,Minetta Dunniom,Kayle Yourell,Caryl Clewlowe,2019-03-10 18:54:03,100,91,10
16,2019-01-15 19:59:11,2018-08-06 13:39:58,2019-04-04 21:02:57,cut brush,great,Terri Porcas,Marta Thrustle,Archambault Waddams,2018-09-05 12:49:53,48,33,16
38,2018-08-30 01:30:02,2018-06-03 13:37:35,2018-10-07 15:18:27,monitor crews,unacceptable,Wright Broseke,Flora Oag,Margareta Lemmens,2019-03-23 01:16:31,84,53,47
54,2018-10-08 08:52:41,2019-03-25 02:19:27,2018-08-31 19:03:36,water,unacceptable,Milissent Arnfield,Griselda Batte,Laurianne Magnay,2019-03-29 19:32:09,9,18,75
87,2018-04-29 20:57:10,2018-07-28 11:03:27,2019-01-31 15:24:50,cut brush,unacceptable,Eleni Amaya,Salli Stanfield,Edie Goulter,2019-01-03 15:41:41,55,37,5
48,2018-09-27 03:37:51,2019-03-02 17:11:26,2019-04-10 08:01:35,cut brush,poor,Nathaniel Preator,Eveleen Mylchreest,Horacio Pawelczyk,2018-06-13 14:22:04,80,81,41
50,2018-12-10 20:07:27,2018-08-15 04:03:22,2019-01-04 21:05:39,cut brush,exceptional,Austina Dodgshun,Leroy Jeger,Maynord Leeman,2018-07-23 03:31:16,39,35,65
99,2019-03-24 04:18:06,2018-06-18 12:37:12,2018-12-21 20:37:05,cut brush,exceptional,Krisha Koschke,Luca O'Growgane,Clem Novelli,2018-07-30 12:34:09,50,42,60
42,2018-07-19 02:46:46,2018-05-21 12:32:28,2019-02-21 15:30:15,water,poor,Hamid Jellett,Michaella Hallihan,Dyan Windridge,2019-02-10 06:34:01,55,28,68
43,2018-10-17 03:11:23,2018-09-20 16:16:03,2019-01-25 12:14:16,cut brush,exceptional,Sebastian Trenchard,Gayle Roberti,Sally Vasyunichev,2019-02-06 11:43:16,15,24,25
44,2018-12-08 01:14:20,2018-05-29 08:51:29,2018-08-23 09:30:24,cut brush,poor,Morgana Gaspero,Yancy Odom,Fredelia Gyorgy,2019-02-28 08:58:06,26,43,36
30,2019-01-19 06:43:24,2018-11-19 16:52:16,2018-12-06 03:17:18,water,unacceptable,Weber Woolston,Billye Fillimore,Ted Deegan,2018-07-04 14:31:09,89,79,65
12,2018-05-14 21:32:03,2018-10-26 07:47:27,2018-10-17 13:10:26,monitor crews,exceptional,Winna Terney,Imogene Kerswell,Annalise Wise,2018-08-15 02:04:32,13,59,38
95,2018-10-11 14:40:28,2018-06-07 07:49:44,2019-02-01 06:37:57,monitor crews,unacceptable,Gustie McGrane,Venus Olsson,Frannie Whetton,2018-07-27 20:36:52,80,94,79
52,2019-01-04 19:32:07,2018-06-08 13:50:35,2018-06-01 02:27:43,monitor crews,poor,Gil Gerson,Amara Serris,Adrea MacCleod,2018-12-17 10:21:39,5,13,44
90,2018-09-10 15:18:46,2018-07-15 11:29:12,2019-03-20 20:57:42,water,unacceptable,Cosme Mussetti,Hagan Althrope,Latashia Strute,2019-03-08 08:42:31,80,38,3
10,2019-01-27 09:28:13,2018-05-30 05:56:00,2018-04-24 13:27:24,cut brush,poor,Carling Habbijam,Gideon Huggard,Jobyna Hannond,2019-02-14 03:13:20,26,88,46
60,2019-01-16 13:32:22,2018-08-02 19:42:01,2019-02-17 03:17:04,water,poor,Zebulen Feldon,Court Applewhite,Fraser Matthaus,2018-11-20 08:35:44,35,31,33
87,2018-06-13 14:07:56,2018-06-14 10:32:39,2018-12-09 05:30:52,cut brush,exceptional,Gregorio Wybrow,Gabriel Piatkow,Lenka Somers,2018-10-10 23:51:17,82,74,2
72,2018-06-23 23:16:41,2018-11-30 10:12:18,2018-07-26 15:14:00,monitor crews,poor,Uri Munkley,Hermie Beeby,Gabby McLoney,2018-11-06 17:33:14,2,89,98
46,2018-12-29 07:45:47,2018-05-13 14:44:04,2018-07-09 16:11:44,cut brush,great,Daffy Erratt,Glenn Burdge,Jay Elder,2018-11-22 01:48:53,100,69,97
55,2019-03-21 01:33:12,2019-01-20 23:44:12,2018-10-09 04:55:37,monitor crews,exceptional,Valeria Sutherns,Wynne Mingey,Nicoli Goburn,2019-01-01 01:30:18,72,24,56
62,2018-11-22 14:28:28,2018-11-20 12:27:02,2018-12-30 15:22:59,cut brush,poor,Shea Callf,Lory Verrall,Dov Bassam,2018-08-14 16:48:53,69,71,17
75,2018-11-13 04:27:13,2019-02-15 19:00:26,2018-12-21 00:25:04,water,great,Ketti Wigsell,Bord Welch,Hazel Dudmarsh,2018-06-01 12:24:07,52,79,49
19,2018-04-12 02:33:21,2018-05-19 16:12:45,2019-01-16 22:31:55,monitor crews,unacceptable,Tammie Kettlestringes,Wain Winch,Julina Grayson,2018-05-20 00:04:16,15,97,22
62,2018-11-25 14:55:20,2018-11-09 20:51:26,2018-07-05 15:33:11,monitor crews,great,Bobbi Giannazzi,Dorthy Roughey,Victoir Ding,2018-09-03 02:48:34,72,50,56
81,2018-10-23 14:13:59,2018-12-16 17:35:43,2018-09-05 00:59:57,monitor crews,unacceptable,Gus Grier,Jarib Murra,Ellissa Foulcher,2018-10-30 09:16:18,83,16,46
67,2019-03-11 16:25:40,2018-07-29 10:43:03,2019-03-13 11:50:40,monitor crews,exceptional,Renato McCambridge,Bellina Checchi,Belva Witson,2019-01-04 00:52:34,23,33,74
64,2018-09-26 05:40:56,2018-12-08 15:30:31,2018-10-20 21:55:22,cut brush,exceptional,Axe Bollom,Ardith Prantl,Hermie Wanka,2018-08-10 14:37:49,37,73,86
94,2018-06-19 21:43:01,2019-02-17 22:21:01,2019-04-08 05:12:08,monitor crews,great,Link Graben,Erma Abels,Reinwald Estcourt,2018-04-23 17:45:56,30,22,80
18,2018-12-30 07:11:07,2018-12-06 14:48:09,2019-02-28 07:11:29,water,unacceptable,Letitia Ife,Ashby Burleton,Patsy Olliffe,2018-11-28 20:13:39,84,97,6
99,2018-04-23 20:17:35,2018-12-04 11:54:27,2019-03-30 05:01:24,water,great,Netta Dornan,Shellie Surridge,Leroi Woolham,2018-09-15 21:12:00,99,29,95
32,2018-11-07 12:45:19,2018-05-01 19:11:16,2019-01-15 10:53:03,cut brush,poor,Salomone Ronchka,Anselma Althrop,Irwin Cromwell,2018-04-14 12:31:42,69,97,46
77,2018-07-29 06:22:02,2018-07-08 00:43:28,2018-12-29 19:18:11,monitor crews,unacceptable,Darcy Whitley,Cindy Eddolls,Luz Culpin,2018-12-01 07:41:53,13,32,6
34,2019-01-11 16:54:20,2018-06-23 20:43:35,2018-07-22 18:09:52,monitor crews,unacceptable,Estrella Stedson,Meriel Airton,Raffarty Bebis,2018-06-28 18:48:08,51,26,26
46,2018-07-01 06:36:42,2019-03-20 22:31:44,2018-09-13 13:06:56,monitor crews,unacceptable,Nannette Cowap,Jon Fitzjohn,Goldia Beament,2019-02-26 15:57:45,48,92,25
77,2018-08-07 07:58:27,2019-01-02 12:01:24,2019-01-30 01:18:43,monitor crews,exceptional,Randa Cakes,Ingaberg Mattiassi,Con Grebert,2018-11-17 13:22:36,34,31,36
70,2018-12-03 00:39:30,2018-06-29 10:30:03,2019-02-28 04:47:56,monitor crews,great,Andriana Hast,Rhianon Ashwood,Xerxes Lynes,2018-07-01 09:53:38,52,52,46
100,2018-09-23 21:56:43,2018-11-18 14:48:27,2018-11-05 07:11:14,monitor crews,unacceptable,Jackie Warrener,Lonnard Guage,Aubert Knappett,2019-03-11 08:47:32,60,23,45
99,2018-11-24 10:28:27,2018-11-04 00:15:57,2018-08-04 21:29:45,water,great,Cherin Fehners,Joelynn Spondley,Eziechiele McCreath,2018-09-20 13:28:33,29,80,71
92,2019-02-25 00:58:50,2019-01-21 05:13:43,2019-03-29 00:56:08,water,poor,Brendin Greder,Pyotr Fronczak,Ephrem Lenormand,2018-11-26 20:38:53,87,54,62
39,2018-07-12 21:22:50,2018-08-06 06:27:51,2019-02-09 11:55:31,monitor crews,unacceptable,Gill Loder,Baxie Corinton,Gill Pairpoint,2018-09-15 16:48:54,23,45,92
6,2018-10-14 00:21:22,2018-11-19 08:14:26,2018-10-04 03:56:19,cut brush,exceptional,Cly Glassford,Walther Dingwall,Sibeal Schruur,2019-03-08 22:39:28,54,40,67
69,2019-03-15 20:37:15,2018-10-27 18:58:41,2018-06-29 03:52:11,monitor crews,exceptional,Irwinn Seargeant,Coletta Mallon,Lib Cranny,2018-06-15 19:51:20,45,46,8
73,2018-11-02 18:01:12,2018-05-17 23:06:39,2019-02-21 01:45:03,cut brush,unacceptable,Jacky Grzelczyk,Munroe Taleworth,Phip Fatharly,2018-07-02 03:51:53,27,3,76
93,2018-09-25 13:00:58,2018-07-01 08:01:37,2018-06-03 15:59:16,cut brush,great,Worthy Matz,Lissie Pina,Claudio Rutherford,2018-10-08 08:30:58,81,27,84
41,2018-10-21 09:30:20,2018-08-08 23:22:21,2018-05-30 01:15:38,water,exceptional,Bord Shirtliff,Raoul Mackin,Barthel Grelka,2019-02-25 22:17:01,27,24,31
19,2018-05-27 10:22:42,2018-04-21 09:00:36,2018-09-29 17:28:50,water,unacceptable,Antoinette Kalker,Katti Peaple,Idalina Muffen,2018-10-06 02:39:33,57,33,87
80,2019-01-14 06:22:40,2018-06-25 23:40:47,2018-04-17 04:39:12,cut brush,poor,Octavius Mungane,Tamar Pilkinton,Tristam Dragonette,2018-09-29 23:30:03,20,33,23
3,2018-09-01 19:32:11,2018-05-18 05:27:31,2018-12-02 10:45:34,monitor crews,poor,Mordy Landsman,Leoline Decayette,Dar Birchill,2019-02-24 22:27:34,57,7,53
40,2018-05-19 01:44:54,2018-06-27 19:31:08,2018-09-26 14:36:32,water,poor,Maiga Lindell,Marilin Chiddy,Wright Hiscoe,2019-02-09 07:02:20,63,74,71
97,2018-08-25 06:34:58,2018-12-08 10:33:22,2018-12-09 12:58:49,cut brush,exceptional,Jacenta Zipsell,Jenica Ridhole,Abrahan Benzing,2018-05-07 16:20:58,12,37,29
37,2018-07-21 03:17:19,2019-03-06 12:15:09,2018-06-19 08:47:51,water,unacceptable,Zebulen Tolworthy,Mahmoud Beadell,Derby Pioch,2018-09-02 20:06:23,73,64,5
73,2018-06-30 09:47:05,2018-12-17 06:02:06,2018-10-16 10:48:14,cut brush,unacceptable,Thain Westley,Chickie Farryan,Charline Denslow,2018-05-21 22:01:14,14,100,22
66,2019-02-28 23:50:31,2018-09-01 16:11:28,2018-06-02 08:22:12,cut brush,poor,Ivette Lewty,Tarrance Minthorpe,Doe Vinker,2018-08-07 00:27:08,62,80,23
5,2018-07-28 08:09:56,2018-08-23 04:50:25,2018-07-11 03:25:20,water,unacceptable,Rafferty Vieyra,Donica Guile,Reed Cane,2018-04-29 13:32:21,86,91,31
3,2018-04-23 21:31:52,2019-01-20 13:26:52,2019-01-08 01:06:52,water,great,Gayel Dimmock,Uriah Liggett,Herve Kollach,2018-07-30 20:06:10,79,73,24
77,2018-11-15 22:03:55,2018-09-24 23:26:52,2018-12-28 20:45:10,monitor crews,poor,Ambrosius Haggerston,Roz Turfin,Cletus Stoving,2019-03-11 02:00:58,13,70,74
57,2018-06-16 07:56:48,2019-01-28 14:06:23,2019-02-09 17:29:19,water,poor,Travis Gioan,Alain Rissen,Garwin Gasker,2018-06-06 18:02:38,56,3,54
55,2018-09-28 16:18:48,2019-01-20 19:02:56,2018-09-25 03:27:57,monitor crews,great,Crista Winterflood,Sarah Tabourier,Darby Kalkhoven,2018-09-19 18:16:33,94,41,76
62,2018-11-08 18:04:47,2019-01-12 23:01:17,2018-10-25 06:15:45,monitor crews,poor,Frannie Sweedy,Rex Borsay,Marnie Sole,2018-05-15 16:07:14,11,60,97
46,2019-02-17 09:12:29,2018-10-30 10:33:11,2018-07-07 22:11:52,cut brush,great,Travers Zamboniari,Blanche Lines,Hobart Shinton,2019-01-22 09:30:07,67,31,56
41,2018-06-25 09:50:55,2018-05-17 22:29:15,2018-10-24 13:13:48,cut brush,exceptional,Barnabe Boys,Yasmeen Vanacci,Olly Parradice,2018-08-05 22:25:10,90,72,37
24,2018-04-21 17:37:00,2018-07-28 10:19:17,2018-10-15 19:37:35,monitor crews,great,Caldwell Haysey,Melva Curro,Coralyn McCaskill,2018-05-06 20:18:57,24,86,61
12,2018-08-21 07:05:43,2019-03-07 21:20:15,2018-07-31 05:56:57,cut brush,unacceptable,Xaviera Ulyat,Patric Hovel,Jada Winckles,2018-08-29 10:52:34,38,50,97
100,2018-06-14 12:05:48,2018-09-13 11:13:43,2018-11-13 00:01:09,cut brush,unacceptable,Peirce Kett,Forester Arnold,Gretal Blankau,2018-09-28 17:11:26,16,74,66
12,2019-02-09 18:54:08,2018-12-11 10:29:42,2018-11-08 19:01:04,monitor crews,great,Roxana Munroe,Tasha Witson,Aldon Ivanaev,2018-09-29 01:50:40,86,34,30
58,2019-01-27 22:44:03,2019-02-28 09:20:51,2018-12-11 11:37:22,cut brush,exceptional,Julietta Emilien,Babita Abberley,Luke Heinzler,2018-07-21 16:43:16,5,88,95
88,2018-08-12 22:30:11,2018-11-13 12:30:53,2018-09-21 03:10:22,monitor crews,great,Tabbi Ivanusyev,Maure Askham,Reinald Rambaut,2018-07-27 19:33:55,58,36,33
73,2018-08-30 15:26:24,2018-07-01 14:38:55,2018-08-08 09:17:11,monitor crews,exceptional,Edy Pereira,Stafani Wye,Terrye Fluin,2018-10-31 09:07:18,36,48,63
51,2018-11-22 00:43:39,2018-11-29 06:52:26,2018-10-06 06:33:59,cut brush,unacceptable,Rosana Asling,Finley Matzen,Marne O'Siaghail,2019-04-08 06:48:09,51,51,41
68,2018-10-10 11:15:28,2018-10-19 17:31:43,2018-10-09 18:44:00,monitor crews,poor,Harmon Sedman,Hilary Izakoff,Gallard Genese,2018-10-17 12:57:38,35,83,47
84,2019-03-25 21:54:32,2019-03-02 16:03:21,2019-02-16 10:40:37,monitor crews,poor,Jessica Barefoot,Pammie Costley,Denver Corwin,2019-03-11 03:47:18,31,8,62
13,2019-01-13 16:32:17,2018-07-11 19:27:49,2019-03-12 23:52:27,monitor crews,great,Simone Brunelli,Charis Stearley,Carolyne Santon,2018-05-03 18:49:55,91,72,35
66,2018-09-08 03:52:35,2018-05-05 00:35:36,2019-04-02 09:58:44,cut brush,exceptional,Cart Dilliway,Cynthie Ioannidis,Oates Neesam,2018-07-13 23:10:38,60,62,22
100,2018-10-20 20:40:18,2018-10-20 15:36:12,2018-10-07 03:42:48,cut brush,poor,Lucretia Travis,Dedie Blakeman,Lyon Novill,2018-11-27 05:00:03,40,14,38
34,2019-02-22 09:19:45,2018-06-23 22:34:35,2018-08-17 01:00:50,cut brush,poor,Aurelia Burrows,My Erasmus,Earl Atty,2019-04-10 16:35:18,36,17,40
92,2018-04-20 19:31:03,2019-03-01 14:45:48,2019-01-24 01:15:52,water,great,Berne Macoun,Merralee Moverley,Ash Cluley,2018-04-20 05:56:34,29,33,43
83,2019-02-28 05:38:46,2018-12-08 14:28:39,2019-03-04 06:29:10,cut brush,poor,Gerianne Lorincz,Druci Cleevely,Jilleen Hubble,2018-12-23 19:26:02,25,35,87
84,2019-03-21 18:24:44,2018-10-08 06:35:25,2019-01-27 09:41:57,cut brush,great,Katerina Tod,Meridel Rieme,Richardo Penrith,2018-08-07 23:42:46,47,68,34
76,2018-04-18 02:45:10,2019-01-30 13:24:34,2019-01-31 22:54:42,monitor crews,exceptional,Trudy Braunroth,Tybi Hurcombe,Dare Eeles,2018-09-13 19:49:56,40,52,51
11,2018-11-27 05:39:14,2018-09-01 06:20:15,2018-07-26 01:06:14,water,great,Ula Purchall,Dougy Leahy,Terri Whale,2018-11-30 17:27:02,52,76,88
63,2019-01-31 21:33:27,2018-09-12 11:04:15,2018-08-14 05:14:18,water,unacceptable,Tobie Crowther,Keefer Laurenty,Kinsley Gallear,2018-10-31 14:03:53,55,15,68
41,2018-07-09 09:04:16,2018-07-31 23:39:04,2018-08-18 05:58:42,water,great,Dotti Geeve,Jolee Vlies,Estrella Gilford,2018-04-11 11:24:19,80,28,30
4,2018-04-11 19:16:59,2019-02-13 11:11:23,2019-02-14 00:05:30,monitor crews,poor,Gaspard Seamen,Shari Wankling,Melly Hammand,2019-01-14 22:25:08,99,73,25
33,2019-01-20 02:13:07,2018-07-27 15:08:05,2019-01-06 20:21:04,cut brush,exceptional,Torrey Dawkins,Guss Logie,Kaine Arkley,2018-09-27 00:02:42,55,16,81
5,2018-08-03 08:40:43,2018-08-04 18:55:54,2019-02-05 20:04:21,monitor crews,unacceptable,Vonny Coombes,Melonie Picardo,Waylan Boult,2018-09-18 23:56:05,53,45,6
68,2018-11-18 10:45:53,2018-08-11 04:48:35,2018-10-10 04:26:43,monitor crews,great,Webb Vanezis,Boniface Oloman,Theda Condon,2018-10-05 14:43:28,74,70,99
66,2018-09-16 00:06:18,2018-11-05 04:23:12,2018-05-10 08:14:55,cut brush,exceptional,Janeta Corbally,Brenna Battill,Marcellus Ianniello,2018-06-04 15:21:46,25,9,77
20,2018-05-20 09:40:06,2019-04-10 09:13:00,2018-08-09 23:22:00,water,exceptional,Violante Stowe,Letti Crocetto,Leicester Martijn,2018-10-01 11:03:28,77,36,97
20,2018-12-14 10:11:26,2018-06-12 00:22:47,2019-04-09 22:03:19,water,exceptional,Doralia Kid,Blinnie Praundl,Sterling Haxbie,2018-07-09 00:13:27,67,80,42
81,2018-04-13 06:07:26,2018-07-22 02:29:23,2018-08-16 16:49:29,monitor crews,great,Dorthea Johann,Findlay Lorden,Kalina Beazleigh,2018-07-13 06:09:27,79,81,59
